mass,crosssection
0.09789639124545418, 4.7514829267017367e-26
0.12405997397775204, 4.8325390292689905e-26
0.14889874131416028, 4.8862819720959025e-26
0.17871472250843282, 4.936716941554733e-26
0.2145017704931228, 4.986738414342554e-26
0.2574713034478369, 5.0276629603681515e-26
0.3090778500669543, 5.054942116250415e-26
0.37114953216477947, 5.035082651637522e-26
0.4457291660493883, 5.001577796881295e-26
0.5353241698500114, 4.9602165053758755e-26
0.6430962682692113, 4.8812270168085335e-26
0.7725452338528522, 4.805958998280282e-26
0.9280004388796119, 4.738547416501224e-26
1.114791423100944, 4.6641063913149934e-26
1.3390804622382895, 4.6004162795750266e-26
1.6083658940417032, 4.5483040746233436e-26
1.9162511351744411, 4.4631765684038417e-26
2.2085587681522707, 4.3683592433508674e-26
2.4419668400297994, 4.265393305702449e-26
2.633682176510291, 4.1548026246632674e-26
2.817149192116966, 4.0332773645882086e-26
3.0132304977742628, 3.9197119154300953e-26
3.18590169977233, 3.795659426805733e-26
3.3349542845190894, 3.67507217313477e-26
3.5025111377755187, 3.558434227829255e-26
3.7218180049053684, 3.43120877499084e-26
4.014158254303256, 3.31538736106338e-26
4.215897727428647, 3.196778414959383e-26
4.369456834865572, 3.0722272393860067e-26
4.618956789603169, 2.9759203773864237e-26
5.0822222264346975, 2.8580201878253475e-26
5.666106498675116, 2.7582997601637844e-26
6.5851274627355165, 2.659212150844114e-26
7.91194219440731, 2.560374822068285e-26
9.504374945734861, 2.487587783566095e-26
11.416595545934893, 2.4238976718261283e-26
13.713071006837621, 2.3651695201382826e-26
16.47049604402115, 2.31512479854165e-26
19.78079581946826, 2.2766579837333017e-26
23.75477656450108, 2.2481150890291958e-26
28.52418881392724, 2.2344580744814557e-26
34.25177860064336, 2.218320079907654e-26
41.12638827903382, 2.212932998780117e-26
49.37880529636919, 2.213334871046721e-26
59.28681145177263, 2.2145637366553448e-26
71.17941864160495, 2.222822045671142e-26
85.46153850425003, 2.2244644079507763e-26
102.60376874317348, 2.233963206979604e-26
123.17915977866713, 2.249664456073583e-26
147.87846512516705, 2.2674331885226136e-26
177.53137717436465, 2.284374927629623e-26
213.13035576038445, 2.3013166667366327e-26
255.86992044713963, 2.3170179158306124e-26
307.18015721435216, 2.3327191649245915e-26
368.7776492552883, 2.349247407360591e-26
442.7612986971547, 2.3546112396793168e-26
531.5813451348599, 2.3616290586820834e-26
638.2374233024697, 2.3645119109747483e-26
766.3368489849569, 2.3591248298472106e-26
920.1310353566964, 2.3562187287457338e-26
1104.7992894826232, 2.352072137631226e-26
1326.5300518508654, 2.3479255465167194e-26
1592.72971171826, 2.3466734320992824e-26
1912.4254164313722, 2.339632364287705e-26
2296.1725119425196, 2.340034236554309e-26
2756.9222618045155, 2.3404361088209128e-26
3310.107025509932, 2.3416649744295373e-26
3974.0734334678978, 2.3507502767873543e-26
4771.236949420624, 2.3594220824741613e-26
5728.222184952655, 2.3701613715160187e-26
6876.838057627529, 2.3875166072940394e-26
8362.002496347972, 2.4053293464168915e-26
9698.702987903791, 2.421893694036959e-26
